route_state,route_active,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_px_deg_per_px,tag_k_yaw,pending_turn_tag_id,pending_turn_command,turn_centered,turn_center_tolerance_px,turn_center_y_tolerance_px,turn_align_step_cm,turn_align_timeout_sec,move_rpm_command,pre_turn_slowdown_active,next_turn_tag_id,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,0,1,51,,,0,0,,,0.000,0.067,1,7.276,2.359,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.393,51,1,1,1,0.067,7.276,0.02274,-0.012,-0.012,327.276,242.359,216.629,0.001,3.392,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,52,,,0,0,,,0.000,0.067,1,7.288,2.405,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.461,52,1,1,1,0.067,7.288,0.02277,-0.022,-0.022,327.288,242.405,216.651,0.001,3.460,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,53,,,0,0,,,0.000,0.068,1,7.340,2.359,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.529,53,1,1,1,0.068,7.340,0.02294,-0.008,-0.008,327.340,242.359,216.657,0.001,3.528,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,54,,,0,0,,,0.000,0.068,1,7.332,2.381,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.597,54,1,1,1,0.068,7.332,0.02291,-0.028,-0.028,327.332,242.381,216.657,0.001,3.596,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,55,,,0,0,,,0.000,0.068,1,7.342,2.389,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.665,55,1,1,1,0.068,7.342,0.02294,-0.005,-0.005,327.342,242.389,216.649,0.001,3.664,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,56,,,0,0,,,0.000,0.067,1,7.308,2.500,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.729,56,1,1,1,0.067,7.308,0.02284,-0.023,-0.023,327.308,242.500,216.731,0.001,3.728,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,57,,,0,0,,,0.000,0.068,1,7.321,2.402,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.797,57,1,1,1,0.068,7.321,0.02288,-0.001,-0.001,327.321,242.402,216.655,0.001,3.796,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,58,,,0,0,,,0.000,0.067,1,7.296,2.447,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.865,58,1,1,1,0.067,7.296,0.02280,-0.025,-0.025,327.296,242.447,216.734,0.001,3.864,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,59,,,0,0,,,0.000,0.068,1,7.346,2.490,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,3.933,59,1,1,1,0.068,7.346,0.02296,-0.014,-0.014,327.346,242.490,216.741,0.001,3.932,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,60,,,0,0,,,0.000,0.067,1,7.275,2.454,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.001,60,1,1,1,0.067,7.275,0.02273,-0.021,-0.021,327.275,242.454,216.697,0.001,4.000,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,61,,,0,0,,,0.000,0.067,1,7.303,2.352,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.066,61,1,1,1,0.067,7.303,0.02282,-0.006,-0.006,327.303,242.352,216.636,0.001,4.065,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,62,,,0,0,,,0.000,0.067,1,7.298,2.385,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.133,62,1,1,1,0.067,7.298,0.02281,-0.014,-0.014,327.298,242.385,216.640,0.001,4.132,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,63,,,0,0,,,0.000,0.068,1,7.336,2.383,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.201,63,1,1,1,0.068,7.336,0.02292,-0.015,-0.015,327.336,242.383,216.662,0.001,4.200,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,64,,,0,0,,,0.000,0.068,1,7.357,2.497,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.269,64,1,1,1,0.068,7.357,0.02299,-0.023,-0.023,327.357,242.497,216.725,0.001,4.268,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,65,,,0,0,,,0.000,0.067,1,7.282,2.382,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.333,65,1,1,1,0.067,7.282,0.02276,-0.031,-0.031,327.282,242.382,216.648,0.001,4.332,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,66,,,0,0,,,0.000,0.068,1,7.332,2.474,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.401,66,1,1,1,0.068,7.332,0.02291,-0.028,-0.028,327.332,242.474,216.699,0.001,4.400,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,67,,,0,0,,,0.000,0.068,1,7.357,2.461,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.469,67,1,1,1,0.068,7.357,0.02299,-0.010,-0.010,327.357,242.461,216.732,0.001,4.468,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,68,,,0,0,,,0.000,0.068,1,7.317,2.345,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.537,68,1,1,1,0.068,7.317,0.02287,0.007,0.007,327.317,242.345,216.659,0.001,4.536,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,69,,,0,0,,,0.000,0.068,1,7.337,2.432,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.605,69,1,1,1,0.068,7.337,0.02293,-0.002,-0.002,327.337,242.432,216.699,0.001,4.604,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,70,,,0,0,,,0.000,0.067,1,7.303,2.464,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.669,70,1,1,1,0.067,7.303,0.02282,-0.005,-0.005,327.303,242.464,216.729,0.001,4.668,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,71,,,0,0,,,0.000,0.068,1,7.331,2.387,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.737,71,1,1,1,0.068,7.331,0.02291,0.006,0.006,327.331,242.387,216.664,0.001,4.736,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,72,,,0,0,,,0.000,0.067,1,7.286,2.329,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.805,72,1,1,1,0.067,7.286,0.02277,-0.023,-0.023,327.286,242.329,216.624,0.001,4.804,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,73,,,0,0,,,0.000,0.068,1,7.393,2.445,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.873,73,1,1,1,0.068,7.393,0.02310,0.004,0.004,327.393,242.445,216.706,0.001,4.872,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,74,,,0,0,,,0.000,0.068,1,7.315,2.358,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.937,74,1,1,1,0.068,7.315,0.02286,-0.001,-0.001,327.315,242.358,216.661,0.001,4.936,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,75,,,0,0,,,0.000,0.068,1,7.329,2.346,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,4.973,75,1,1,1,0.068,7.329,0.02290,-0.011,-0.011,327.329,242.346,216.633,0.001,4.972,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,76,,,0,0,,,0.000,0.068,1,7.324,2.488,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,5.041,76,1,1,1,0.068,7.324,0.02289,-0.005,-0.005,327.324,242.488,216.721,0.001,5.040,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,77,,,0,0,,,0.000,0.068,1,7.353,2.377,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,5.106,77,1,1,1,0.068,7.353,0.02298,-0.015,-0.015,327.353,242.377,216.648,0.001,5.104,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,78,,,0,0,,,0.000,0.068,1,7.358,2.429,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,5.173,78,1,1,1,0.068,7.358,0.02299,-0.001,-0.001,327.358,242.429,216.689,0.001,5.172,STOPPED,,EVT:READY,,,,,,EVT:READY
