route_state,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_px_deg_per_px,tag_k_yaw,pending_turn_tag_id,pending_turn_command,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.325,46.606,-1.000,0.020,0.000,,,6.884,104,1,1,3,-0.022,-2.325,-0.00727,0.828,0.828,317.675,286.606,208.820,0.001,6.883,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.326,46.585,-1.000,0.020,0.000,,,6.952,105,1,1,3,-0.022,-2.326,-0.00727,0.821,0.821,317.674,286.585,208.810,0.001,6.951,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.321,46.585,-1.000,0.020,0.000,,,7.088,107,1,1,3,-0.022,-2.321,-0.00725,0.821,0.821,317.679,286.585,208.834,0.001,7.087,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.324,46.586,-1.000,0.020,0.000,,,7.152,108,1,1,3,-0.022,-2.324,-0.00726,0.822,0.822,317.676,286.586,208.826,0.001,7.151,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.326,46.597,-1.000,0.020,0.000,,,7.220,109,1,1,3,-0.022,-2.326,-0.00727,0.825,0.825,317.674,286.597,208.828,0.001,7.219,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,4,,,0,0,,,0.000,-0.022,1,-2.338,46.596,-1.000,0.020,0.000,,,7.288,110,1,1,3,-0.022,-2.338,-0.00731,0.822,0.822,317.662,286.596,208.810,0.001,7.287,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,5,,,0,0,,,0.000,-0.022,1,-2.324,46.583,-1.000,0.020,0.000,,,7.356,111,1,1,3,-0.022,-2.324,-0.00726,0.824,0.824,317.676,286.583,208.824,0.001,7.355,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.326,46.597,-1.000,0.020,0.000,,,7.456,113,1,1,3,-0.022,-2.326,-0.00727,0.823,0.823,317.674,286.597,208.813,0.001,7.455,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.334,46.592,-1.000,0.020,0.000,,,7.524,114,1,1,3,-0.022,-2.334,-0.00729,0.827,0.827,317.666,286.592,208.824,0.001,7.523,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.326,46.610,-1.000,0.020,0.000,,,7.588,115,1,1,3,-0.022,-2.326,-0.00727,0.823,0.823,317.674,286.610,208.842,0.001,7.587,STOPPED,,EVT:READY,,,,,,EVT:READY
